dimension,weights,score,n,accuracy,macro_f1,ARI,NMI,V_measure,homogeneity,completeness
technical,"(0.55, 0.45, 0)",0.8081041080732487,56,0.8392857142857143,0.7583160800552106,0.7024817952147422,0.9060441773572715,0.9060441773572716,0.900570660443181,0.911584635357311
technical,"(0.4, 0.45, 0.15)",0.8172912383235925,56,0.8571428571428571,0.7645272601794342,0.7238325281803543,0.9125776546959469,0.9125776546959469,0.9005706604431809,0.9249091454737713
technical,"(0.35, 0.45, 0.2)",0.8172912383235925,56,0.8571428571428571,0.7645272601794342,0.7238325281803543,0.9125776546959469,0.9125776546959469,0.9005706604431809,0.9249091454737713
technical,"(0.3, 0.45, 0.25)",0.8456685675161391,56,0.875,0.8080055210489994,0.7238325281803543,0.9125776546959469,0.9125776546959469,0.9005706604431809,0.9249091454737713
technical,"(0.3, 0.4, 0.3)",0.8456685675161391,56,0.875,0.8080055210489994,0.7238325281803543,0.9125776546959469,0.9125776546959469,0.9005706604431809,0.9249091454737713
technical,"(0.25, 0.45, 0.3)",0.8456685675161391,56,0.875,0.8080055210489994,0.7238325281803543,0.9125776546959469,0.9125776546959469,0.9005706604431809,0.9249091454737713
application,"(0.55, 0.45, 0)",0.7273057491670123,96,0.8020833333333334,0.6450983835852256,0.6979817362783924,0.8599040243090241,0.8599040243090241,0.8383400528991302,0.8826066305871647
application,"(0.4, 0.45, 0.15)",0.8618291938882034,96,0.875,0.8383442265795207,0.7765724449148182,0.9099493463473354,0.9099493463473354,0.907528910753906,0.9123827273691255
application,"(0.35, 0.45, 0.2)",0.8708670017400587,96,0.8854166666666666,0.846677559912854,0.796273057730489,0.9192008856066115,0.9192008856066115,0.9170828976892033,0.9213286790865508
application,"(0.3, 0.45, 0.25)",0.8708670017400587,96,0.8854166666666666,0.846677559912854,0.796273057730489,0.9192008856066115,0.9192008856066115,0.9170828976892033,0.9213286790865508
application,"(0.3, 0.4, 0.3)",0.8708670017400587,96,0.8854166666666666,0.846677559912854,0.796273057730489,0.9192008856066115,0.9192008856066115,0.9170828976892033,0.9213286790865508
application,"(0.25, 0.45, 0.3)",0.8708670017400587,96,0.8854166666666666,0.846677559912854,0.796273057730489,0.9192008856066115,0.9192008856066115,0.9170828976892033,0.9213286790865508
