axis,model,accuracy,accuracy,macro_f1,macro_f1,ARI,ARI,NMI,NMI,V_measure,V_measure
,,mean,std,mean,std,mean,std,mean,std,mean,std
application,baseline,0.7999999999999999,0.03464101615137751,0.6793072216846441,0.051639229978421484,0.6890192050103351,0.03167908479142373,0.8659233886083505,0.013392638728356786,0.8659233886083507,0.013392638728356835
application,v7_conservative,0.8833333333333333,0.02081665999466135,0.8359563723677302,0.014962785600468919,0.8069843993410597,0.02423216818685707,0.9166018519535227,0.013284203080996497,0.9166018519535227,0.013284203080996527
technical,baseline,0.8388888888888889,0.03469443332443554,0.6663624136314195,0.04044244207155674,0.7757602633949171,0.042731364467999015,0.9213078247497867,0.015484800731646396,0.9213078247497865,0.01548480073164627
technical,v7_conservative,0.85,0.0,0.6947008523207353,0.020112852940780735,0.7633782924674009,0.04711166962803047,0.92263279451427,0.011939426126217265,0.9226327945142699,0.011939426126217323
