axis,model,accuracy,accuracy,macro_f1,macro_f1,ARI,ARI,NMI,NMI,V_measure,V_measure
,,mean,std,mean,std,mean,std,mean,std,mean,std
application,baseline,0.7999999999999999,0.03464101615137751,0.6793072216846441,0.051639229978421484,0.6890192050103351,0.03167908479142373,0.8659233886083505,0.013392638728356786,0.8659233886083507,0.013392638728356835
application,v7,0.8833333333333333,0.02081665999466135,0.8359563723677302,0.014962785600468919,0.8069843993410597,0.02423216818685707,0.9166018519535227,0.013284203080996497,0.9166018519535227,0.013284203080996527
technical,baseline,0.8388888888888889,0.03469443332443554,0.6663624136314195,0.04044244207155674,0.7757602633949171,0.042731364467999015,0.9213078247497867,0.015484800731646396,0.9213078247497865,0.01548480073164627
technical,v7,0.8555555555555555,0.00962250448649384,0.7253796683065689,0.02444065404229992,0.7586786226128005,0.055177698399349995,0.9199091905402437,0.016557455239153935,0.9199091905402437,0.016557455239153848
